epoch,train_loss,val_loss,train_mPA,val_mPA,train_mIoU,val_mIoU,train_fps,val_fps
1,0.5139643084837904,0.38982769375046095,0.7597604575454158,0.776997854312261,0.4743851301579327,0.48386685897906623,18.397647288148896,41.284253406967224
2,0.3897458726353299,0.30142402028044063,0.8377566686138562,0.8243207196394603,0.5444984398911156,0.5491977828244369,16.33288935274066,32.704874907137246
3,0.3543378784479154,0.2991177911559741,0.853118902465464,0.8168507993221283,0.5613759279663587,0.5790057306488355,18.099800555286496,41.55494280603092
4,0.34594112928557147,0.28612849762042364,0.8562754165755011,0.8409260173638662,0.5705241386659418,0.5636097336808841,18.36973859982256,41.223202161489496
5,0.32595251508340706,0.2899501156061888,0.8639447225006394,0.8144062399864197,0.5771124571252446,0.6119507268071175,18.444445206102667,41.61091038226839
6,0.3131385087245063,0.25806599395970503,0.866485112472389,0.8565610855817795,0.5838532589092387,0.5784567217032115,18.248896901426125,41.611163232445755
7,0.3016405800118991,0.2688928718989094,0.8677006953727828,0.8431885530551274,0.5903322907055125,0.5881073117256165,18.414951705209,41.31643664338462
8,0.30592464555093574,0.25171864436318475,0.8658773237033699,0.8504188507795334,0.5866028393222387,0.5823941712578138,18.31248749084062,41.31699626488688
9,0.2912781825321356,0.2614352769528826,0.8706426026499395,0.8596917351086935,0.5938646028198585,0.5585769350330035,18.380742359679566,41.66508009834889
10,0.27656932267969453,0.24274346120655538,0.8750663900870352,0.8533834119637808,0.6033205470411835,0.6147771999239922,18.380055200870192,41.40623064802331
