epoch,train_mPA
1,0.7760059433412387
2,0.8375641493236318
3,0.8536939408539901
4,0.8561179916338937
5,0.859469429844391
6,0.8630138066400707
7,0.8691305557336775
8,0.8690710408052359
9,0.8755309105331922
10,0.8807220351737264
