epoch,train_fps
1,17.387899735734603
2,15.04157043646344
3,15.030014610587141
4,14.957652877231856
5,16.98267564191296
6,18.040411412494795
7,18.087832693205556
8,17.038631109359546
9,16.885467093574697
10,17.992035898105243
