epoch,train_mIoU
1,0.4887770454570084
2,0.5440047551397634
3,0.567149447631671
4,0.5687743998728821
5,0.5786381076157712
6,0.5794537204565886
7,0.5938011186139394
8,0.5925668824502753
9,0.6054132885998921
10,0.6070596014752108
