epoch,train_loss,val_loss,train_mPA,val_mPA,train_mIoU,val_mIoU,train_fps,val_fps
1,0.48242120480867406,0.3724082514643669,0.7760059433412387,0.8165379827221234,0.4887770454570084,0.48698578650752705,17.387899735734603,37.163105841977426
2,0.3837057434563818,0.3096342807014783,0.8375641493236318,0.8168408513069153,0.5440047551397634,0.5402314563592275,15.04157043646344,32.92618394719553
3,0.3485657244817608,0.30462645515799525,0.8536939408539901,0.8348547180493673,0.567149447631671,0.5276913054287433,15.030014610587141,32.77366711327167
4,0.3397091538951471,0.29483534917235377,0.8561179916338937,0.83841825624307,0.5687743998728821,0.5335498787462711,14.957652877231856,32.99342608008553
5,0.32162768989285795,0.2846632044141491,0.859469429844391,0.8250737845897674,0.5786381076157712,0.5797237306833267,16.98267564191296,41.5901012024335
6,0.3231763088991898,0.25545773884902395,0.8630138066400707,0.843730953335762,0.5794537204565886,0.5834246327479681,18.040411412494795,41.55565300820093
7,0.29283149787917684,0.26885006663699945,0.8691305557336775,0.8206457972526551,0.5938011186139394,0.6090187758207322,18.087832693205556,41.175937432622426
8,0.2877178863722148,0.27247897603859506,0.8690710408052359,0.8593718538681666,0.5925668824502753,0.5465676953395208,17.038631109359546,33.04638133947115
9,0.27633482532311476,0.25526054402192433,0.8755309105331922,0.8481772681077321,0.6054132885998921,0.587768151362737,16.885467093574697,40.98131441898207
10,0.2690304542753111,0.2823950765033563,0.8807220351737264,0.8556452254454295,0.6070596014752108,0.5285951379686594,17.992035898105243,41.975828368934685
