epoch,train_mIoU
1,0.4743851301579327
2,0.5444984398911156
3,0.5613759279663587
4,0.5705241386659418
5,0.5771124571252446
6,0.5838532589092387
7,0.5903322907055125
8,0.5866028393222387
9,0.5938646028198585
10,0.6033205470411835
