Model,Best_Val_mIoU,Best_Val_mPA,Best_Val_Loss,Best_Val_FPS,FLOPS (GFLOPS),Parameters (M)
ENet,0.619110036889712,0.8022860834995905,0.3177060808365544,41.80276906661493,23.26,0.17
CustomENet,0.6090187758207322,0.8206457972526551,0.2688500666369994,41.175937432622426,11.57,0.15
CustomENetNoSE,0.6084425747394562,0.8053618947664897,0.3103312968586882,34.15796336164298,11.47,0.13
CustomENetNoDW,0.6132344961166382,0.8241369833548864,0.2837590958923101,42.218478631904375,14.68,0.18
CustomENetNoAsym,0.6147771999239922,0.8533834119637808,0.2427434612065553,41.40623064802331,10.54,0.13
